Port,Pin,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
PortA,PA0,,TIM2_CH1,TIM5_CH1,,,,,USART2_CTS,UART4_TX,,,ETH_CRS,,,,,ADC1_IN0
PortA,PA1,,TIM2_CH1,TIM5_CH2,,,SPI1_SSEL,SPI3_SSEL,USART1_CTS,UART4_RX,CAN1_TD,USB_OTG_FS_DP,ETH_RX_CLK,,,,,ADC1_IN1
PortA,PA2,,TIM2_CH3,TIM5_CH3,TIM9_CH1,,,,USART2_TX,,,,ETH_MDIO,,,,,ADC1_IN2
PortA,PA3,,TIM2_CH4,TIM5_CH4,TIM9_CH2,,,,USART2_RX,,,USB_OTG_HS_ULPI_D0,ETH_COL,,,,,ADC1_IN3
PortA,PA4,,,,,,SPI1_SSEL,SPI3_SSEL,,,,,,USB_OTG_HS_SOF,,,,
PortA,PA5,,TIM2_CH1,,TIM8_CH1N,,SPI1_SCLK,,,,,USB_OTG_HS_ULPI_CK,,,,,,
PortA,PA6,,,TIM3_CH1,,,SPI1_MISO,,,,TIM13_CH1,,,,,,,ADC1_IN6
PortA,PA7,,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,,SPI1_MOSI,,,,TIM14_CH1,,ETH_RX_DV,,,,,ADC1_IN7
PortA,PA8,,TIM1_CH1,,,I2C3_SCL,,,,,,USB_OTG_FS_SOF,,,,,,
PortA,PA9,,TIM1_CH2,,,,,,USART1_TX,,,,,,,,,
PortA,PA10,,TIM1_CH3,,,,,,USART1_RX,,,USB_OTG_FS_ID,,,,,,
PortA,PA11,,TIM1_CH4,,,,,,USART1_CTS,,CAN1_RD,USB_OTG_FS_DM,,,,,,
PortA,PA12,,,,,,,,USART1_RTS,,CAN1_TD,USB_OTG_FS_DP,,,,,,
PortA,PA13,,,,,,,,,,,,,,,,,
PortA,PA14,,,,,,,,,,,,,,,,,
PortA,PA15,,TIM2_CH1,,,,SPI1_SSEL,SPI3_SSEL,,,,,,,,,,
PortB,PB0,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,,,,,,,USB_OTG_HS_ULPI_D1,ETH_RXD2,,,,,ADC1_IN8
PortB,PB1,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,I2C2_SCL,SPI2_SSEL,,USART3_CTS,,CAN2_TD,USB_OTG_HS_ULPI_D6,ETH_TXD1,USB_OTG_HS_DP,,,,ADC1_IN9
PortB,PB2,,,,,,,,,,,,,,,,,
PortB,PB3,,TIM2_CH2,,,,SPI1_SCLK,SPI3_SCLK,,,,,,,,,,
PortB,PB4,,,TIM3_CH1,,,SPI1_MISO,SPI3_MISO,,,,,,,,,,
PortB,PB5,,,TIM3_CH2,,,SPI1_MOSI,SPI3_MOSI,,,CAN2_RD,USB_OTG_HS_ULPI_D7,ETH_PPS_OUT,,,,,
PortB,PB6,,,TIM4_CH1,,I2C1_SCL,,,USART1_TX,,CAN2_TD,,,,,,,
PortB,PB7,,,TIM4_CH2,,I2C1_SDA,,,USART1_RX,,,,,,,,,
PortB,PB8,,,TIM4_CH3,TIM10_CH1,I2C1_SCL,,,,,CAN1_RD,,ETH_TXD3,SDIO_D4,,,,
